IDX,BestObjective,NumOfIndividuals,NumOfDimensions,NumOfIterations,NumOfFunctionCall,ElapsedTime,ObjectiveFunction,Algorithm
97,1.844599272,100,30,150,15000,23.39286017,Ackley,GOA
98,1.738085516,100,30,150,15000,23.31344986,Ackley,GOA
99,2.58060447,100,30,150,15000,23.06856108,Ackley,GOA
100,2.15932267,100,30,150,15000,23.37419105,Ackley,GOA
101,1.664137755,100,30,150,15000,23.31284308,Ackley,GOA
102,2.178622632,100,30,150,15000,23.111552,Ackley,GOA
103,1.239797731,100,30,150,15000,23.5280149,Ackley,GOA
104,1.500230534,100,30,150,15000,23.13317013,Ackley,GOA
105,1.740578131,100,30,150,15000,23.20835924,Ackley,GOA
106,1.678595489,100,30,150,15000,23.50882196,Ackley,GOA
107,2.392348315,100,30,150,15000,23.93764567,Ackley,GOA
108,2.212774529,100,30,150,15000,23.00131726,Ackley,GOA
109,1.790898508,100,30,150,15000,23.18013597,Ackley,GOA
110,1.561767528,100,30,150,15000,23.19517207,Ackley,GOA
111,1.541164397,100,30,150,15000,23.23295879,Ackley,GOA
112,2.224566629,100,30,150,15000,25.43899608,Ackley,GOA
113,3.391593651,100,30,150,15000,23.40884089,Ackley,GOA
114,2.045170539,100,30,150,15000,23.26418614,Ackley,GOA
115,2.406442037,100,30,150,15000,23.26646399,Ackley,GOA
116,2.224853529,100,30,150,15000,23.29607821,Ackley,GOA
117,2.219021906,100,30,150,15000,23.20531201,Ackley,GOA
118,2.384727202,100,30,150,15000,23.24672985,Ackley,GOA
119,2.172485145,100,30,150,15000,23.27005005,Ackley,GOA
120,1.967718397,100,30,150,15000,23.42589593,Ackley,GOA
121,2.078352752,100,30,150,15000,23.36216617,Ackley,GOA
122,2.258364344,100,30,150,15000,23.2200067,Ackley,GOA
123,1.842727257,100,30,150,15000,23.25354671,Ackley,GOA
124,1.825527513,100,30,150,15000,23.120188,Ackley,GOA
125,2.481985813,100,30,150,15000,23.35419512,Ackley,GOA
126,1.922395225,100,30,150,15000,23.894912,Ackley,GOA
127,2.424618439,100,30,150,15000,24.04244304,Ackley,GOA
128,1.45301641,100,30,150,15000,23.68687725,Ackley,GOA
129,2.298623758,100,30,150,15000,23.62526798,Ackley,GOA
130,2.905621147,100,30,150,15000,23.16269803,Ackley,GOA
131,1.73990278,100,30,150,15000,22.9959352,Ackley,GOA
132,2.265717495,100,30,150,15000,23.39338231,Ackley,GOA
133,1.896847591,100,30,150,15000,23.25105977,Ackley,GOA
134,1.731495468,100,30,150,15000,23.6902411,Ackley,GOA
135,2.767113029,100,30,150,15000,23.19059205,Ackley,GOA
136,1.98604914,100,30,150,15000,23.6878221,Ackley,GOA
137,1.966185735,100,30,150,15000,24.08065796,Ackley,GOA
138,1.945189641,100,30,150,15000,23.79160976,Ackley,GOA
139,2.471990917,100,30,150,15000,23.21427202,Ackley,GOA
140,2.073269289,100,30,150,15000,23.74362016,Ackley,GOA
141,2.033001116,100,30,150,15000,23.63197112,Ackley,GOA
142,2.152451595,100,30,150,15000,23.95360899,Ackley,GOA
143,2.010377733,100,30,150,15000,23.71816492,Ackley,GOA
144,2.907009823,100,30,150,15000,23.13751292,Ackley,GOA
145,2.202193217,100,30,150,15000,23.26614714,Ackley,GOA
146,1.895760088,100,30,150,15000,26.99066496,Ackley,GOA
147,2.111342228,100,30,150,15000,26.5176959,Ackley,GOA
148,1.652484457,100,30,150,15000,27.23109007,Ackley,GOA
149,2.074193397,100,30,150,15000,23.10137701,Ackley,GOA
150,2.035133957,100,30,150,15000,23.41722918,Ackley,GOA
151,2.380556973,100,30,150,15000,23.77567291,Ackley,GOA
152,2.495843219,100,30,150,15000,22.09856677,Ackley,GOA
153,1.819794235,100,30,150,15000,21.21553493,Ackley,GOA
154,2.224155505,100,30,150,15000,21.15687799,Ackley,GOA
155,1.754073814,100,30,150,15000,21.60303903,Ackley,GOA
156,1.85660801,100,30,150,15000,21.67250824,Ackley,GOA
157,1.980275232,100,30,150,15000,21.25634384,Ackley,GOA
158,2.306492439,100,30,150,15000,21.64877725,Ackley,GOA
159,2.253518249,100,30,150,15000,21.61708808,Ackley,GOA
160,2.496811423,100,30,150,15000,21.07468009,Ackley,GOA
161,2.651003691,100,30,150,15000,21.72895193,Ackley,GOA
162,2.422764442,100,30,150,15000,21.10573983,Ackley,GOA
163,1.904521572,100,30,150,15000,21.85839272,Ackley,GOA
164,2.705889477,100,30,150,15000,22.16457009,Ackley,GOA
165,1.544709644,100,30,150,15000,21.66252303,Ackley,GOA
166,1.786002666,100,30,150,15000,21.42182875,Ackley,GOA
167,2.762382278,100,30,150,15000,23.29166317,Ackley,GOA
168,2.494616401,100,30,150,15000,23.51168394,Ackley,GOA
169,2.102643462,100,30,150,15000,24.05303597,Ackley,GOA
170,2.231301077,100,30,150,15000,23.46907401,Ackley,GOA
171,2.47907842,100,30,150,15000,23.16339517,Ackley,GOA
172,1.853550635,100,30,150,15000,23.35800385,Ackley,GOA
173,1.628003503,100,30,150,15000,23.01549911,Ackley,GOA
174,2.08210436,100,30,150,15000,23.19417286,Ackley,GOA
175,2.15343254,100,30,150,15000,23.37888193,Ackley,GOA
176,0.460473061,100,30,150,15000,23.28403497,Ackley,GOA
177,1.690827892,100,30,150,15000,23.40621591,Ackley,GOA
178,1.874685428,100,30,150,15000,23.30540299,Ackley,GOA
179,2.700600637,100,30,150,15000,23.41116905,Ackley,GOA
180,1.853025684,100,30,150,15000,23.36432314,Ackley,GOA
181,2.991055094,100,30,150,15000,23.28337002,Ackley,GOA
182,2.66802997,100,30,150,15000,23.23620987,Ackley,GOA
183,2.135766707,100,30,150,15000,23.19216204,Ackley,GOA
